oai_id,title,description,subject,creator,date,type,format,language,publisher,rights,source,relation,coverage,portal_url
info:ark/67531/metapth2355,Texas and the Massachusetts Resolutions,"Pamphlet containing an essay against the annexation of Texas, compiled from a series of newspaper columns.",Texas -- Annexation to the United States. | United States -- Politics and government -- 1841-1845. | Military and War - Wars - Texas Revolution,"Adams, Charles Francis",1844-01-01,Book,54 p.,English,Eastburn's Press,,"Boston Courier, 1844",,"Annexation, 1844-1846 | United States | United States - Texas | 1844~",https://texashistory.unt.edu/ark:/67531/metapth2355/
info:ark/67531/metapth2356,"Anti-Texass Legion: Protest of some free men, states and presses against the Texass rebellion, against the laws of nature and of nations",Pamphlet from Texana Collection,Slavery -- United States -- Controversial literature -- 1845 | Texas -- Annexation to the United States | Military and War - Wars - Texas Revolution | Social Life and Customs - Slavery,"Anti-Texass Legion | Lundy, Benjamin | Legion of Liberty",1845-01-01,Book,Text,English,Sold at the Patriot Office,Public,,,"United States - Texas | Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2356/
info:ark/67531/metapth2357,"How to Conquer Texas, Before Texas Conquers Us",Pamphlet discussing the geography of Texas and some political issues surrounding the annexation of Texas into the United States.,"Texas -- History -- Republic, 1836-1846. | Texas -- Annexation to the United States. | Texas -- Description and travel. | Texas -- Emigration and immigration. | Slavery -- Texas. | Military and War - Wars - Texas Revolution","Hale, Edward Everett, Sr., 1822-1909",1845-01-01,Pamphlet,Text,English,Redding & Co.,,,,"Annexation, 1844-1846 | United States - Texas",https://texashistory.unt.edu/ark:/67531/metapth2357/
info:ark/67531/metapth2358,Annexation of Texas. By Junius no. IX,Pamphlet from Texana Collection,Texas -- Annexation to the United States | Military and War - Wars - Texas Revolution | Social Life and Customs - Slavery,"Colton, Calvin",1844-01-01,Book,Text,English,Greeley & McElrath,,,,"Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2358/
info:ark/67531/metapth2359,Discourse on Slavery and the Annexation of Texas,Pamphlet from Texana Collection,Slavery -- United States -- Controversial literature -- 1844 | Texas -- Annexation to the United States. | Military and War - Wars - Texas Revolution | Social Life and Customs - Slavery,"Dewey, Orville",1844-01-01,Book,Text,English,C.S. Francis and company,,,,"Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2359/
info:ark/67531/metapth2360,"Appeal to the people of Massachusetts, on the Texas question. 2d edition.","Pamphlet written by ""A Massachusetts Freeman"" regarding issues in relation to the annexation of Texas by the United States.",Texas -- Annexation to the United States. | United States -- Politics and government -- 1841-1845. | Military and War - Wars - Texas Revolution,"Allen, George, 1792-1883",1844,Pamphlet,20 p. ; 23 cm.,English,Charles C. Little and James Brown (Firm),,,,"Annexation, 1844-1846 | United States - Texas | United States - Massachusetts",https://texashistory.unt.edu/ark:/67531/metapth2360/
info:ark/67531/metapth2361,"Address on the annexation of Texas, and the aspect of slavery in the United States, in connection therewith: delivered in Boston November 14 and 18, 1845",Pamphlet from Texana Collection,Slavery -- United States -- Controversial literature -- 1845. | Texas -- Annexation to the United States. | Military and War - Wars - Texas Revolution | Social Life and Customs - Slavery,"Phillips, Stephen C.",1845-01-01,Book,Text,English,W. Crosby and H.P. Nichols,,,,"Annexation, 1844-1846",https://texashistory.unt.edu/ark:/67531/metapth2361/
info:ark/67531/metapth2362,"History of the regulators and moderators and the Shelby County war in 1841 and 1842, in the republic of Texas, with facts and incidents in the early history of the republic and state, from 1837 to the annexation, together with incidents of frontier life and Indian troubles, and the war on the reserve in Young County in 1857",Pamphlet from Texana Collection,Frontier and pioneer life -- Texas | Texas -- History | Shelby County war | Military and War - Wars - Texas Revolution,"Middleton, John W.",1883-01-01,Book,Text,English,Loving Publishing Company,,,,"United States - Texas - Shelby County | The Republic of Texas, 1836-1846 | The Texas Frontier, 1846-1861 | 1837-01-01/1857-12-31 | The Texas Frontier, 1846-1861 | The Republic of Texas, 1836-1846",https://texashistory.unt.edu/ark:/67531/metapth2362/
info:ark/67531/metapth2363,"Proceedings of the Senate and Documents Relative to Texas, from which the Injunction of Secrecy Has Been Removed",Record of 1844 Senate Proceedings.,Texas -- Annexation to the United States | Texas -- History -- To 1846 -- Sources. | Government and Law - Texas Laws and Regulations,United States. Congress. Senate.,1844,Book,Text,English,[Gales and Seaton],,,Is part of serial 435.,"Annexation, 1844-1846 | 1844-05-16",https://texashistory.unt.edu/ark:/67531/metapth2363/
info:ark/67531/metapth2365,Message from the President of the United States to the Two Houses of Congress at the Commencement of the First Session of the Twenty-Ninth Congress.,Presidential address to the 1845 Congress.,Texas -- Annexation to the United States. | Texas -- History -- To 1846 -- Sources. | Government and Law - Politics,"United States. Congress. Senate. | Polk, James K.",1845,Book,Text,English,Ritchie & Heiss,Public,,Is part of serial 470.,"Annexation, 1844-1846 | 1845-12-02/1845-12-03",https://texashistory.unt.edu/ark:/67531/metapth2365/
info:ark/67531/metapth2369,"Congressional Globe (Permanent Edition) Volume 85: 28th Congress, 2nd session, Appendix",Congressional debates and proceedings regarding the annexation of Texas to the United States of America. Only selected pages of the Congressional Globe are reproduced here.,Law -- United States -- Periodicals. | United States -- Politics and government -- Periodicals. | Government and Law - Politics,United States. Congress.,1845-12-31,Book,Text,English,Blair & Rives,,,,United States | 1844-01-01/1845-12-31,https://texashistory.unt.edu/ark:/67531/metapth2369/
info:ark/67531/metapth2385,"History of Texas: From Its First Settlement in 1685 to Its Annexation to the United States in 1846, Volume 1","Book describing Texas history up to the time of annexation to the United States of America. This first volume is broken into 22 chapters covering the start of European immigration (roughly 1685) through the establishment of the Republic of Texas in 1835, with a number of appendices containing supplementary information.",Texas -- History -- To 1846. | Places - Republic of Texas | Immigration | People - Individuals | explorers | emigrants | histories,"Yoakum, H. (Henderson K.), 1810-1856",1855,Book,"482, 4 p. : ill.",English,Redfield,,,"History of Texas: From Its First Settlement in 1685 to Its Annexation to the United States in 1846, Volume 1 [e-book], ark:/67531/metapth846125","United States - Texas | 1685/1835 | Spanish Texas, 1690-1821 | Mexican Texas, 1821-1835 | The Republic of Texas, 1836-1846",https://texashistory.unt.edu/ark:/67531/metapth2385/
info:ark/67531/metapth2370,Houston Daily Post 1 January 1908,Obituary of the widow of the last president of the Republic of Texas includes biography. Newspaper clipping is from the University of North Texas Archives.,"Obituaries. | Jones, Mary Smith McCrory, 1819-1907. | People - Individuals - Mary Jones","Looscan, M.",1/1/1908,Clipping,Text,English,Houston Daily Post,Public,,,United States - Texas - Harris County - Houston | 1908-01-01,https://texashistory.unt.edu/ark:/67531/metapth2370/
info:ark/67531/metapth2371,"Letter to Mary Jones, 13 July 1879","Letter from Cromwell Anson Jones, son of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, C. Anson",1879-07-13,Letter,Text,English,,Public,,,United States - Texas - Harris County - Houston | 1879-07-13,https://texashistory.unt.edu/ark:/67531/metapth2371/
info:ark/67531/metapth2372,"Letter to Colonel Allen, 15 October 1859","Letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1859-10-15,Letter,Text,English,,Public,,,"The Texas Frontier, 1846-1861 | 1859-10-15",https://texashistory.unt.edu/ark:/67531/metapth2372/
info:ark/67531/metapth2373,Houston Chronicle 31 December 1907,Obituary of the widow of the last president of the Republic of Texas includes biography. Newspaper clipping is from the University of North Texas Archives.,"Obituaries. | Jones, Mary Smith McCrory, 1819-1907 | People - Individuals - Mary Jones",,12/31/1907,Clipping,Text,English,Houston Chronicle,Public,,,"United States - Texas - Harris County - Houston | New South, Populism, Progressivism, and the Great Depression, 1877-1939 | 1907-12-31",https://texashistory.unt.edu/ark:/67531/metapth2373/
info:ark/67531/metapth2374,"Letter to Colonel Allen, 25 October 1859","Letter from Mary Jones, widow of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, Mary Smith McCrory",1859-10-25,Letter,Text,English,,Public,,,"The Texas Frontier, 1846-1861 | 1859-10-25",https://texashistory.unt.edu/ark:/67531/metapth2374/
info:ark/67531/metapth2375,"Letter to Mary Jones, 21 July 1879","Letter from Cromwell Anson Jones, son of the last president of the Republic of Texas. The original letter is housed in the University of North Texas Archives.",Letters. | People - Individuals - Mary Jones,"Jones, C. Anson",1879-07-21,Letter,Text,English,,Public,,,"The Cattle Boom, 1865-1890 | 1879-07-21",https://texashistory.unt.edu/ark:/67531/metapth2375/
